sample#,except.text,except.data,except.bss,reserved,result.text,result.data,result.bss,result.checks
0,34656,208,4000,0,46936,192,2432,1611
1,19544,208,3320,0,24128,192,1752,541
10,13776,208,2888,0,11168,192,1320,226
100,22088,208,3776,0,27288,192,2208,295
101,35792,208,4232,0,69432,192,2664,1395
102,27312,208,3480,0,40440,192,1912,1123
103,13960,208,2904,0,10824,192,1328,201
104,39904,208,4096,0,71320,192,2528,2047
105,10648,208,2760,0,4488,192,1192,73
106,29472,208,4032,0,34720,192,2456,1123
107,17376,208,3128,0,17432,192,1560,463
108,41952,208,4624,0,90936,192,3056,1588
109,37808,208,3920,0,64864,192,2352,1771
11,11008,208,2680,0,6152,192,1112,129
110,12816,208,2816,0,9744,192,1248,262
111,20480,208,3216,0,26320,192,1640,766
112,33304,208,4360,0,57616,192,2792,1013
113,15448,208,2952,0,15368,192,1384,337
114,18712,208,3216,0,21224,192,1640,397
115,10688,208,2736,0,4736,192,1160,78
116,10144,208,2696,0,3728,192,1128,70
117,21448,208,3392,0,26888,192,1824,541
118,12320,208,2760,0,8432,192,1192,161
119,30832,208,4200,0,51216,192,2624,904
12,39568,208,4808,0,69216,192,3240,1129
120,12760,208,2856,0,8680,192,1288,153
121,16472,208,3152,0,16976,192,1584,277
122,17432,208,3216,0,22392,192,1648,351
123,32784,208,4328,0,48360,192,2760,937
124,15904,208,3048,0,16544,192,1480,433
125,22984,208,3400,0,29816,192,1832,801
126,29248,208,3848,0,50608,192,2280,963
127,20584,208,3664,0,24432,192,2096,267
128,10264,208,2704,0,3680,192,1136,53
129,28968,208,3528,0,44816,192,1952,1324
13,14328,208,2960,0,12432,192,1392,271
130,16288,208,2984,0,16696,192,1416,415
131,13560,208,2912,0,10928,192,1336,243
132,11536,208,2800,0,6632,192,1224,134
133,27336,208,3560,0,46848,192,1992,1081
134,29568,208,4104,0,44832,192,2528,1006
135,10264,208,2680,0,3816,192,1112,77
136,11368,208,2768,0,6880,192,1200,127
137,45144,208,4808,0,87568,192,3240,1565
138,23736,208,3800,0,24792,192,2232,676
139,10816,208,2760,0,5056,192,1192,41
14,18224,208,3064,0,21128,192,1488,486
140,38904,208,4520,0,67952,192,2952,1881
141,19000,208,3280,0,22720,192,1712,431
142,25360,208,3568,0,40536,192,2000,837
143,10040,208,2680,0,2520,192,1112,51
144,10184,208,2664,0,3880,192,1096,85
145,14448,208,3144,0,12216,192,1568,136
146,14392,208,2936,0,12448,192,1368,225
147,14112,208,2936,0,13008,192,1368,241
148,18360,208,3272,0,22976,192,1704,361
149,9768,208,2632,0,2320,192,1064,47
15,21592,208,3656,0,27560,192,2088,361
16,45800,208,4712,0,91488,192,3144,1993
17,19480,208,3160,0,24216,192,1592,451
18,39568,208,4704,0,71408,192,3128,1534
19,14000,208,2824,0,11712,192,1256,351
2,22536,208,3392,0,29448,192,1824,649
20,28032,208,3592,0,45960,192,2016,1198
21,9352,208,2632,0,1648,192,1064,17
22,15736,208,2880,0,18360,192,1312,512
23,12008,208,2856,0,8024,192,1280,130
24,13568,208,2912,0,10648,192,1336,210
25,15984,208,2936,0,20624,192,1368,505
26,25784,208,3800,0,38224,192,2232,781
27,25048,208,3944,0,41584,192,2376,491
28,15728,208,3080,0,18784,192,1512,346
29,9520,208,2664,0,1432,192,1096,17
3,15920,208,3152,0,15184,192,1584,277
30,9040,208,2632,0,896,192,1064,9
31,22656,208,3656,0,27120,192,2088,419
32,13536,208,2944,0,10952,192,1368,261
33,17584,208,2904,0,26048,192,1328,586
34,21504,208,3464,0,20360,192,1896,505
35,15872,208,2840,0,15928,192,1272,469
36,21008,208,3608,0,31160,192,2040,407
37,20736,208,3192,0,27040,192,1616,799
38,11368,208,2768,0,5336,192,1200,99
39,9640,208,2664,0,2216,192,1096,33
4,20112,208,3440,0,24368,192,1872,511
40,47608,208,4704,0,87552,192,3128,2542
41,12800,208,2832,0,10552,192,1256,229
42,19464,208,3416,0,22992,192,1848,289
43,10424,208,2760,0,3816,192,1184,40
44,11400,208,2792,0,5408,192,1224,69
45,18672,208,3440,0,20728,192,1872,301
46,21816,208,3416,0,32776,192,1848,681
47,28776,208,3464,0,40504,192,1896,1405
48,32112,208,3800,0,49904,192,2232,1301
49,47976,208,4720,0,88048,192,3144,2163
5,11776,208,2792,0,7128,192,1224,127
50,43408,208,4352,0,92864,192,2776,2439
51,19592,208,3464,0,23936,192,1896,385
52,20760,208,3464,0,25424,192,1896,385
53,21240,208,3112,0,28576,192,1544,905
54,17192,208,3272,0,15592,192,1704,217
55,26896,208,4200,0,43992,192,2632,401
56,17016,208,3136,0,16592,192,1560,305
57,17544,208,3072,0,23024,192,1496,586
58,11576,208,2760,0,6128,192,1192,121
59,10208,208,2688,0,4064,192,1120,67
6,24688,208,3832,0,33624,192,2264,435
60,13312,208,2912,0,7616,192,1344,183
61,21976,208,3480,0,29496,192,1912,683
62,8944,208,2608,0,968,192,1040,10
63,23552,208,3240,0,33168,192,1672,961
64,13816,208,2968,0,11264,192,1400,162
65,46304,208,4280,0,108040,192,2712,2899
66,16280,208,3248,0,15712,192,1680,163
67,21536,208,3552,0,26176,192,1984,545
68,11496,208,2760,0,6720,192,1192,155
69,27176,208,4168,0,36040,192,2592,528
7,12208,208,2768,0,7736,192,1200,169
70,9456,208,2616,0,1520,192,1040,37
71,28432,208,3744,0,49632,192,2176,1132
72,13832,208,2856,0,11920,192,1280,307
73,12152,208,2920,0,7960,192,1352,81
74,30656,208,4008,0,48880,192,2440,1145
75,22624,208,3248,0,30216,192,1680,865
76,9688,208,2680,0,2568,192,1112,32
77,25456,208,3744,0,29056,192,2176,947
78,36072,208,4008,0,63904,192,2440,1889
79,11688,208,2792,0,5712,192,1224,113
8,18608,208,3080,0,21304,192,1512,541
80,21600,208,3512,0,21200,192,1944,517
81,12632,208,2824,0,9920,192,1256,183
82,18976,208,3080,0,21520,192,1512,621
83,17464,208,3160,0,19680,192,1592,461
84,25368,208,3200,0,46784,192,1632,1376
85,9480,208,2632,0,1552,192,1064,32
86,13752,208,2856,0,12240,192,1280,267
87,12320,208,2736,0,8504,192,1168,188
88,18728,208,3368,0,22336,192,1800,353
89,18784,208,3264,0,21944,192,1688,474
9,23088,208,3656,0,30064,192,2088,481
90,26248,208,3328,0,45344,192,1760,1219
91,53752,208,4712,0,101248,192,3144,2707
92,16408,208,2952,0,17768,192,1384,463
93,10064,208,2672,0,2976,192,1104,37
94,26184,208,3328,0,35000,192,1760,1171
95,11904,208,2808,0,7544,192,1240,118
96,9984,208,2696,0,3832,192,1120,54
97,13936,208,2888,0,12336,192,1320,289
98,33704,208,4272,0,52856,192,2704,1217
99,12264,208,2856,0,7824,192,1280,106
